n,Best Case,Worst Case
100,166,166
200,166,165
300,166,166
400,166,165
500,166,166
600,166,166
700,166,165
800,166,166
900,166,166
1000,166,166
1100,166,165
1200,165,165
1300,165,166
1400,165,166
1500,166,166
1600,166,166
1700,165,166
1800,166,166
1900,166,166
2000,166,166
2100,166,166
2200,166,166
2300,166,166
2400,166,166
2500,165,166
2600,166,166
2700,166,166
2800,166,166
2900,166,166
3000,165,166
3100,166,165
3200,166,166
3300,166,166
3400,165,166
3500,166,166
3600,166,166
3700,166,166
3800,165,166
3900,165,165
4000,166,166
4100,166,165
4200,166,166
4300,166,166
4400,166,166
4500,166,166
4600,166,166
4700,166,166
4800,166,165
4900,166,166
5000,166,166
5100,166,166
5200,166,166
5300,166,165
5400,166,166
5500,166,166
5600,165,166
5700,166,166
5800,165,166
5900,166,166
6000,165,166
6100,166,166
6200,166,166
6300,166,166
6400,166,166
6500,166,166
6600,166,165
6700,166,166
6800,166,165
6900,166,166
7000,166,166
7100,166,166
7200,166,166
7300,166,166
7400,166,165
7500,165,166
7600,166,166
7700,166,166
7800,166,166
7900,165,165
8000,166,165
8100,166,165
8200,165,166
8300,165,165
8400,166,166
8500,166,166
8600,166,166
8700,165,166
8800,166,166
8900,166,166
9000,165,166
9100,166,165
9200,166,166
9300,166,165
9400,166,166
9500,165,166
9600,166,166
9700,166,166
9800,166,166
9900,166,166
10000,165,166
